City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,college,64.8569,-147.8028,-0.8799999999999955,88,100,1.54,US,2025-1-9
63,ilulissat,69.2167,-51.1,-25.599999999999994,85,13,2.58,GL,2025-1-9
64,zaozersk,69.4005,32.4476,-10.129999999999995,96,98,2.64,RU,2025-1-9
65,cadale,2.7603,46.3222,27.899999999999977,78,58,9.1,SO,2025-1-9
66,buckhannon,38.994,-80.232,-8.360000000000014,99,100,1.66,US,2025-1-9
67,west island,-12.1568,96.8225,33.139999999999986,74,75,6.17,CC,2025-1-9
68,ust-nera,64.5667,143.2,-27.110000000000014,98,91,1.24,RU,2025-1-9
69,selfoss,63.9331,-20.9971,-2.069999999999993,97,98,3.74,IS,2025-1-9
70,olonkinbyen,70.9221,-8.7187,-7.759999999999991,78,100,10.37,SJ,2025-1-9
71,touros,-5.1989,-35.4608,29.00999999999999,85,71,3.6,BR,2025-1-9
72,ubari,26.5921,12.7805,12.199999999999989,55,17,1.72,LY,2025-1-9
73,santo antonio do ica,-3.1022,-67.9397,25.69999999999999,96,99,0.75,BR,2025-1-9
74,edinburgh of the seven seas,-37.0676,-12.3116,20.670000000000016,95,100,7.68,SH,2025-1-9
75,iglino,54.8324,56.4126,2.8999999999999773,94,100,1.83,RU,2025-1-9
76,nchelenge,-9.3451,28.734,23.29000000000002,93,100,0.68,ZM,2025-1-9
77,praia da vitoria,38.7333,-27.0667,22.29000000000002,94,75,7.25,PT,2025-1-9
78,conception bay south,47.4999,-52.9981,3.5600000000000023,92,100,6.61,CA,2025-1-9
79,molochnoye,59.2917,39.6787,-0.029999999999972715,91,98,4.32,RU,2025-1-9
80,iqaluit,63.7506,-68.5145,-11.0,85,100,0.0,CA,2025-1-9
81,ribeira grande,38.5167,-28.7,20.25,95,100,2.24,PT,2025-1-9
82,medicine hat,50.0501,-110.6683,-3.3999999999999773,86,0,1.54,CA,2025-1-9
83,queenstown,-31.8976,26.8753,19.74000000000001,92,5,1.76,ZA,2025-1-9
84,utrik,11.2278,169.8474,29.99000000000001,78,11,9.56,MH,2025-1-9
85,the pas,53.8251,-101.2541,-10.839999999999975,72,100,5.14,CA,2025-1-9
86,arafat,39.0344,44.6198,-1.4300000000000068,68,1,1.67,IR,2025-1-9
87,kirakat,25.6333,82.9167,12.189999999999998,46,4,0.91,IN,2025-1-9
88,saudarkrokur,65.7461,-19.6394,-2.480000000000018,85,99,6.33,IS,2025-1-9
89,lebu,-37.6167,-73.65,15.79000000000002,84,0,7.4,CL,2025-1-9
90,temerluh,3.4506,102.4176,33.170000000000016,56,74,2.74,MY,2025-1-9
91,bahia honda,22.9036,-83.1592,18.75999999999999,68,4,3.05,CU,2025-1-9
92,arraial do cabo,-22.9661,-42.0278,27.25,81,54,5.3,BR,2025-1-9
93,whitehorse,60.7161,-135.0538,5.579999999999984,93,100,9.26,CA,2025-1-9
94,beyneu,45.3167,55.2,0.3100000000000023,61,4,4.54,KZ,2025-1-9
95,aasiaat,68.7098,-52.8699,-20.330000000000013,99,88,2.58,GL,2025-1-9
96,klyuchi,52.2667,79.1667,-2.75,82,100,6.8,RU,2025-1-9
